,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
147,1INCH-USD,1INCH,USD,0.23,320000,0.001,0.01,1INCH/USD,1,710000,False,False,0.03000000,False,False,False,False,online,,False
148,POLY-USDT,POLY,USDT,1,430000,0.0001,1,POLY/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
149,ATOM-USDT,ATOM,USDT,0.01,8700,0.01,0.001,ATOM/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
150,SHPING-EUR,SHPING,EUR,10,130000000,0.000001,1,SHPING/EUR,1,100000,False,False,0.03000000,False,False,False,False,online,,False
151,ADA-GBP,ADA,GBP,0.49,640000,0.0001,0.01,ADA/GBP,0.72,650000,False,False,0.03000000,False,False,False,False,online,,False
152,ICP-USD,ICP,USD,0.021,65000,0.01,0.0001,ICP/USD,1,1900000,False,False,0.03000000,False,False,False,False,online,,False
153,DOT-USD,DOT,USD,0.021,140000,0.01,0.001,DOT/USD,1,3600000,False,False,0.03000000,False,False,False,False,online,,False
154,BAND-USD,BAND,USD,0.11,82000,0.001,0.01,BAND/USD,1,430000,False,False,0.03000000,False,False,False,False,online,,False
155,LINK-BTC,LINK,BTC,0.03,59000,1E-8,0.01,LINK/BTC,0.000016,33,False,False,0.03000000,False,False,False,False,online,,False
156,CTSI-USD,CTSI,USD,1,950000,0.0001,0.1,CTSI/USD,1,590000,False,False,0.03000000,False,False,False,False,online,,False
157,ETC-USD,ETC,USD,0.018,44000,0.01,0.00000001,ETC/USD,1,1400000,False,False,0.03000000,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False
158,ETH-GBP,ETH,GBP,0.00021,1400,0.01,0.00000001,ETH/GBP,0.72,3200000,False,False,0.03000000,False,False,False,False,online,,False
159,FIL-BTC,FIL,BTC,0.016,21000,1E-8,0.001,FIL/BTC,0.000016,15,False,False,0.03000000,False,False,False,False,online,,False
160,OMG-USD,OMG,USD,0.1,240000,0.01,0.1,OMG/USD,1,1400000,False,False,0.03000000,False,False,False,False,online,,False
161,USDT-USD,USDT,USD,0.99,9000000,0.0001,0.01,USDT/USD,1,9000000,False,True,0.01000000,False,False,False,False,online,,False
162,SUPER-USD,SUPER,USD,0.1,310000,0.01,0.01,SUPER/USD,1,310000,False,False,0.03000000,False,False,False,False,online,,False
163,TRAC-EUR,TRAC,EUR,0.4,200000,0.0001,0.1,TRAC/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
164,NCT-EUR,NCT,EUR,10,21000000,0.00001,1,NCT/EUR,1,100000,False,False,0.03000000,False,False,False,False,online,,False
165,ASM-USDT,ASM,USDT,6,2700000,0.00001,1,ASM/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
166,BCH-GBP,BCH,GBP,0.0015,1500,0.01,0.00000001,BCH/GBP,0.72,400000,False,False,0.03000000,False,False,False,False,online,,False
167,AUCTION-EUR,AUCTION,EUR,0.026,10000,0.01,0.001,AUCTION/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
168,COMP-USD,COMP,USD,0.002,6200,0.01,0.001,COMP/USD,1,1100000,False,False,0.03000000,False,False,False,False,online,,False
169,ACH-USD,ACH,USD,11,20000000,0.000001,0.1,ACH/USD,1,1100000,False,False,0.03000000,False,False,False,False,online,,False
170,CLV-EUR,CLV,EUR,0.76,330000,0.01,0.01,CLV/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
171,BICO-EUR,BICO,EUR,0.1,57000,0.01,0.01,BICO/EUR,1,170000,False,False,0.03000000,False,False,False,False,online,,False
172,BCH-EUR,BCH,EUR,0.0015,2200,0.01,0.00000001,BCH/EUR,0.84,720000,False,False,0.03000000,False,False,False,False,online,,False
173,CRV-USD,CRV,USD,0.23,420000,0.001,0.01,CRV/USD,1,1900000,False,False,0.03000000,False,False,False,False,online,,False
174,RAD-USDT,RAD,USDT,0.08,32000,0.01,0.01,RAD/USDT,1,240000,False,False,0.03000000,False,False,False,False,online,,False
175,LRC-USDT,LRC,USDT,0.1,320000,0.0001,0.01,LRC/USDT,1,250000,False,False,0.03000000,False,False,False,False,online,,False
176,SKL-BTC,SKL,BTC,2.7,1300000,1E-8,0.1,SKL/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
177,OXT-USD,OXT,USD,1,2000000,0.0001,1,OXT/USD,1,610000,False,False,0.03000000,False,False,False,False,online,,False
178,SUSHI-GBP,SUSHI,GBP,0.08,51000,0.01,0.01,SUSHI/GBP,0.72,240000,False,False,0.03000000,False,False,False,False,online,,False
179,SPELL-USD,SPELL,USD,10,79000000,0.00001,1,SPELL/USD,1,1100000,False,False,0.03000000,False,False,False,False,online,,False
180,SKL-USD,SKL,USD,2.7,1600000,0.0001,0.1,SKL/USD,1,240000,False,False,0.03000000,False,False,False,False,online,,False
181,ERN-USD,ERN,USD,0.01,19000,0.01,0.001,ERN/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
182,CRV-BTC,CRV,BTC,0.23,120000,1E-7,0.01,CRV/BTC,0.000016,13,False,False,0.03000000,False,False,False,False,online,,False
183,TRAC-USDT,TRAC,USDT,0.5,210000,0.0001,0.1,TRAC/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
184,RAI-USD,RAI,USD,0.32,51000,0.01,0.01,RAI/USD,1,160000,False,False,0.03000000,False,True,False,False,online,,False
185,ANKR-USD,ANKR,USD,7,10000000,0.00001,1,ANKR/USD,1,880000,False,False,0.03000000,False,False,False,False,online,,False
186,QNT-USDT,QNT,USDT,0.001,2300,0.01,0.0001,QNT/USDT,1,250000,False,False,0.03000000,False,False,False,False,online,,False
187,UMA-USD,UMA,USD,0.064,83000,0.001,0.001,UMA/USD,1,670000,False,False,0.03000000,False,False,False,False,online,,False
188,BAND-EUR,BAND,EUR,0.11,38000,0.01,0.01,BAND/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
